Record Name,C (carbon),Cr (chromium),Mn (manganese),Mo (molybdenum),Ni (nickel),Si (silicon),Young's modulus,Yield strength (elastic limit),Tensile strength,Elongation,Fracture toughness,Thermal conductivity,Specific heat capacity,Thermal expansion coefficient,Electrical resistivity
Carbon steel 1,0.105,0,0.45,0,0,0,209.9,232.8,365.1,36.1,54.5,52,484.6,12.2,14.4
Carbon steel 2,,0,0.45,0,0,0,209.9,283.4,385.2,36.1,,52,484.6,12.2,17
Carbon steel 3,0.2,,,0,,0,,,393,34.7,53,52,484.6,12,17
Carbon steel 4,0.205,0,0.85,0,0,0,,,424.9,,53,52,484.6,12.5,17
Carbon steel 5,0.25,,0.45,0,0,0,205.1,,398.4,34.6,58,54,495.8,11.6,17.3
Carbon steel 6,0.31,0,,0,0,0,212,338.2,459.5,30.8,52.4,52.4,,11.7,17.4
Low alloy steel 1,,0.65,0.8,0,1.25,0.25,206.4,422.6,,24,,49.7,478.3,11.2,
Low alloy steel 2,3.05,0.95,0.5,0.2,0,0.25,,357.8,556.8,27.3,95.7,44.9,479.6,12,22.4
Low alloy steel 3,0.405,0.95,,0.2,0,,212,412.6,,24.9,95.5,44.9,469.6,,22.4
Low alloy steel 4,,,0.875,,0,0.25,206.4,377.9,726.6,19.6,117.5,,469.6,12,22.4
Low alloy steel 5,0.195,0.5,,0.25,1.825,0.25,206.4,422.6,,28.4,81.8,41.8,478.3,11.2,22
Low alloy steel 6,0.405,0.8,0.7,0.25,1.825,0.225,209,469.6,741.2,21.4,92.8,41.8,478.3,12.2,22
